eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
we'll bring tom.,wir werden tom bringen.,we will bring tom .,<sos> wir werden tom bringen .,wir werden tom bringen . <eos>,5,6
tom remembered.,tom erinnerte sich.,tom remembered .,<sos> tom erinnerte sich .,tom erinnerte sich . <eos>,3,5
tom knows mary doesn't like it.,"tom weiß, dass maria das nicht mag.",tom knows mary does not like it .,"<sos> tom wei , dass maria das nicht mag .","tom wei , dass maria das nicht mag . <eos>",8,10
our guests will arrive in a few minutes.,unsere gäste kommen in ein paar minuten an.,our guests will arrive in a few minutes .,<sos> unsere gaste kommen in ein paar minuten an .,unsere gaste kommen in ein paar minuten an . <eos>,9,10
did you read it all?,habt ihr alles gelesen?,did you read it all ?,<sos> habt ihr alles gelesen ?,habt ihr alles gelesen ? <eos>,6,6
this coat fits me very well.,dieser mantel passt mir sehr gut.,this coat fits me very well .,<sos> dieser mantel passt mir sehr gut .,dieser mantel passt mir sehr gut . <eos>,7,8
the red lines on the map represent railway lines.,die roten linien auf der karte stehen für die eisenbahnlinien.,the red lines on the map represent railway lines .,<sos> die roten linien auf der karte stehen fur die eisenbahnlinien .,die roten linien auf der karte stehen fur die eisenbahnlinien . <eos>,10,12
did you get tom's message?,haben sie toms nachricht bekommen?,did you get tom 's message ?,<sos> haben sie toms nachricht bekommen ?,haben sie toms nachricht bekommen ? <eos>,7,7
your plan seems excellent.,dein vorhaben dünkt mich gar fürtrefflich.,your plan seems excellent .,<sos> dein vorhaben dunkt mich gar furtrefflich .,dein vorhaben dunkt mich gar furtrefflich . <eos>,5,8
he makes good use of his time.,er nutzt seine zeit gut.,he makes good use of his time .,<sos> er nutzt seine zeit gut .,er nutzt seine zeit gut . <eos>,8,7
we can do it right now.,lass es uns doch gleich jetzt tun.,we can do it right now .,<sos> lass es uns doch gleich jetzt tun .,lass es uns doch gleich jetzt tun . <eos>,7,9
mary was kidnapped by pirates.,maria wurde von piraten entführt.,mary was kidnapped by pirates .,<sos> maria wurde von piraten entfuhrt .,maria wurde von piraten entfuhrt . <eos>,6,7
it was a sad story.,es war eine traurige geschichte.,it was a sad story .,<sos> es war eine traurige geschichte .,es war eine traurige geschichte . <eos>,6,7
the wind was howling.,der wind heulte.,the wind was howling .,<sos> der wind heulte .,der wind heulte . <eos>,5,5
you may be correct.,vielleicht hast du recht.,you may be correct .,<sos> vielleicht hast du recht .,vielleicht hast du recht . <eos>,5,6
you will find the restaurant on your right.,du wirst das restaurant rechts finden.,you will find the restaurant on your right .,<sos> du wirst das restaurant rechts finden .,du wirst das restaurant rechts finden . <eos>,9,8
please pay at the register.,bitte bezahlen sie an der kasse.,please pay at the register .,<sos> bitte bezahlen sie an der kasse .,bitte bezahlen sie an der kasse . <eos>,6,8
tom walked down the street whistling a happy tune.,"tom ging, ein fröhliches lied pfeifend, die straße entlang.",tom walked down the street whistling a happy tune .,"<sos> tom ging , ein frohliches lied pfeifend , die strae entlang .","tom ging , ein frohliches lied pfeifend , die strae entlang . <eos>",10,13
i didn't even think about that.,daran habe ich überhaupt nicht gedacht.,i did not even think about that .,<sos> daran habe ich uberhaupt nicht gedacht .,daran habe ich uberhaupt nicht gedacht . <eos>,8,8
we arrived first.,wir sind zuerst angekommen.,we arrived first .,<sos> wir sind zuerst angekommen .,wir sind zuerst angekommen . <eos>,4,6
"tom is a bit older than me, isn't he?","tom ist etwas älter als ich, oder?","tom is a bit older than me , is not he ?","<sos> tom ist etwas alter als ich , oder ?","tom ist etwas alter als ich , oder ? <eos>",12,10
"i'm sorry, but i have to go home.","es tut mir leid, aber ich muss nach hause.","i am sorry , but i have to go home .","<sos> es tut mir leid , aber ich muss nach hause .","es tut mir leid , aber ich muss nach hause . <eos>",11,12
is mary prettier than me?,ist maria hübscher als ich?,is mary prettier than me ?,<sos> ist maria hubscher als ich ?,ist maria hubscher als ich ? <eos>,6,7
why did you pick tom?,warum hast du tom genommen?,why did you pick tom ?,<sos> warum hast du tom genommen ?,warum hast du tom genommen ? <eos>,6,7
do you shower every day?,duschen sie jeden tag?,do you shower every day ?,<sos> duschen sie jeden tag ?,duschen sie jeden tag ? <eos>,6,6
when do the fireworks start?,wann beginnt das feuerwerk?,when do the fireworks start ?,<sos> wann beginnt das feuerwerk ?,wann beginnt das feuerwerk ? <eos>,6,6
can i take your word for it?,kann ich euch das glauben?,can i take your word for it ?,<sos> kann ich euch das glauben ?,kann ich euch das glauben ? <eos>,8,7
don't you think the air conditioner is turned up too high in here?,"meinen sie nicht, dass die klimaanlage hier zu hoch eingestellt ist?",do not you think the air conditioner is turned up too high in here ?,"<sos> meinen sie nicht , dass die klimaanlage hier zu hoch eingestellt ist ?","meinen sie nicht , dass die klimaanlage hier zu hoch eingestellt ist ? <eos>",15,14
i have work to do.,ich habe arbeit.,i have work to do .,<sos> ich habe arbeit .,ich habe arbeit . <eos>,6,5
you can't buy that.,das können sie nicht kaufen.,you can not buy that .,<sos> das konnen sie nicht kaufen .,das konnen sie nicht kaufen . <eos>,6,7
tom is the best drummer i know.,"tom ist der beste schlagzeuger, den ich kenne.",tom is the best drummer i know .,"<sos> tom ist der beste schlagzeuger , den ich kenne .","tom ist der beste schlagzeuger , den ich kenne . <eos>",8,11
take off your glasses.,nehmen sie ihre brille ab.,take off your glasses .,<sos> nehmen sie ihre brille ab .,nehmen sie ihre brille ab . <eos>,5,7
tom never told me that you were so beautiful.,"tom hat mir nie gesagt, dass du so schön bist.",tom never told me that you were so beautiful .,"<sos> tom hat mir nie gesagt , dass du so schon bist .","tom hat mir nie gesagt , dass du so schon bist . <eos>",10,13
he bragged about it.,er prahlte damit herum.,he bragged about it .,<sos> er prahlte damit herum .,er prahlte damit herum . <eos>,5,6
how long will you be gone?,wie lange seid ihr weg?,how long will you be gone ?,<sos> wie lange seid ihr weg ?,wie lange seid ihr weg ? <eos>,7,7
you shouldn't let tom drive.,sie sollten tom nicht fahren lassen.,you should not let tom drive .,<sos> sie sollten tom nicht fahren lassen .,sie sollten tom nicht fahren lassen . <eos>,7,8
tom suggested we leave immediately.,"tom schlug vor, sofort zu gehen.",tom suggested we leave immediately .,"<sos> tom schlug vor , sofort zu gehen .","tom schlug vor , sofort zu gehen . <eos>",6,9
you swim very quickly.,sie schwimmen sehr schnell.,you swim very quickly .,<sos> sie schwimmen sehr schnell .,sie schwimmen sehr schnell . <eos>,5,6
we've made mistakes.,uns sind fehler passiert.,we have made mistakes .,<sos> uns sind fehler passiert .,uns sind fehler passiert . <eos>,5,6
he was accused of evading tax.,er wurde der steuerhinterziehung bezichtigt.,he was accused of evading tax .,<sos> er wurde der steuerhinterziehung bezichtigt .,er wurde der steuerhinterziehung bezichtigt . <eos>,7,7
"you don't know this song, so don't try to sing along.","du kennst dieses lied nicht, also versuche nicht, es mitzusingen.","you do not know this song , so do not try to sing along .","<sos> du kennst dieses lied nicht , also versuche nicht , es mitzusingen .","du kennst dieses lied nicht , also versuche nicht , es mitzusingen . <eos>",15,14
none of his students could solve the problem.,niemand von seinen studenten konnte das problem lösen.,none of his students could solve the problem .,<sos> niemand von seinen studenten konnte das problem losen .,niemand von seinen studenten konnte das problem losen . <eos>,9,10
they were pretty upset.,sie waren ziemlich verärgert.,they were pretty upset .,<sos> sie waren ziemlich verargert .,sie waren ziemlich verargert . <eos>,5,6
i was born 20 years ago.,ich wurde vor zwanzig jahren geboren.,i was born 20 years ago .,<sos> ich wurde vor zwanzig jahren geboren .,ich wurde vor zwanzig jahren geboren . <eos>,7,8
tom sang a song.,tom sang ein lied.,tom sang a song .,<sos> tom sang ein lied .,tom sang ein lied . <eos>,5,6
she's getting older.,langsam wird sie älter.,she is getting older .,<sos> langsam wird sie alter .,langsam wird sie alter . <eos>,5,6
i'll give you money.,ich werde dir geld geben.,i will give you money .,<sos> ich werde dir geld geben .,ich werde dir geld geben . <eos>,6,7
tom seems to be friendly.,tom scheint freundlich zu sein.,tom seems to be friendly .,<sos> tom scheint freundlich zu sein .,tom scheint freundlich zu sein . <eos>,6,7
i can sing.,ich kann singen.,i can sing .,<sos> ich kann singen .,ich kann singen . <eos>,4,5
what else do you know about tom?,was weißt du außerdem noch über tom?,what else do you know about tom ?,<sos> was weit du auerdem noch uber tom ?,was weit du auerdem noch uber tom ? <eos>,8,9
tom wanted to start a new life.,tom wollte ein neues leben anfangen.,tom wanted to start a new life .,<sos> tom wollte ein neues leben anfangen .,tom wollte ein neues leben anfangen . <eos>,8,8
the train's about to leave. hurry up.,der zug fährt gleich ab. beeilen sie sich!,the train 's about to leave . hurry up .,<sos> der zug fahrt gleich ab . beeilen sie sich !,der zug fahrt gleich ab . beeilen sie sich ! <eos>,10,11
she was wearing a black hat.,sie trug einen schwarzen hut.,she was wearing a black hat .,<sos> sie trug einen schwarzen hut .,sie trug einen schwarzen hut . <eos>,7,7
the dog ran after the rabbit.,der hund rannte hinter dem kaninchen her.,the dog ran after the rabbit .,<sos> der hund rannte hinter dem kaninchen her .,der hund rannte hinter dem kaninchen her . <eos>,7,9
"aren't you coming with us, tom?","willst du uns nicht begleiten, tom?","are not you coming with us , tom ?","<sos> willst du uns nicht begleiten , tom ?","willst du uns nicht begleiten , tom ? <eos>",9,9
i did so for the sake of my health.,ich tat das zum wohle meiner gesundheit.,i did so for the sake of my health .,<sos> ich tat das zum wohle meiner gesundheit .,ich tat das zum wohle meiner gesundheit . <eos>,10,9
someone tried to poison tom.,"einer hat versucht, tom zu vergiften.",someone tried to poison tom .,"<sos> einer hat versucht , tom zu vergiften .","einer hat versucht , tom zu vergiften . <eos>",6,9
doing that is relatively easy.,das ist relativ einfach.,doing that is relatively easy .,<sos> das ist relativ einfach .,das ist relativ einfach . <eos>,6,6
i'm not too surprised.,ich bin nicht sonderlich überrascht.,i am not too surprised .,<sos> ich bin nicht sonderlich uberrascht .,ich bin nicht sonderlich uberrascht . <eos>,6,7
do you think aliens exist?,"glaubst du, dass es aliens gibt?",do you think aliens exist ?,"<sos> glaubst du , dass es aliens gibt ?","glaubst du , dass es aliens gibt ? <eos>",6,9
do you believe what he said?,"glaubt ihr, was er gesagt hat?",do you believe what he said ?,"<sos> glaubt ihr , was er gesagt hat ?","glaubt ihr , was er gesagt hat ? <eos>",7,9
the humidity is killing me.,diese feuchtigkeit bringt mich um.,the humidity is killing me .,<sos> diese feuchtigkeit bringt mich um .,diese feuchtigkeit bringt mich um . <eos>,6,7
we suffered heavy damage from the typhoon.,wir erlitten schwere schäden durch den taifun.,we suffered heavy damage from the typhoon .,<sos> wir erlitten schwere schaden durch den taifun .,wir erlitten schwere schaden durch den taifun . <eos>,8,9
is that your umbrella?,ist das dein regenschirm?,is that your umbrella ?,<sos> ist das dein regenschirm ?,ist das dein regenschirm ? <eos>,5,6
i think i'm crazy.,"ich glaube, dass ich verrückt bin.",i think i am crazy .,"<sos> ich glaube , dass ich verruckt bin .","ich glaube , dass ich verruckt bin . <eos>",6,9
please put your baggage on this scale.,bitte legen sie ihr gepäck auf diese waage.,please put your baggage on this scale .,<sos> bitte legen sie ihr gepack auf diese waage .,bitte legen sie ihr gepack auf diese waage . <eos>,8,10
you know that i have to go.,"du weißt, dass ich gehen muss.",you know that i have to go .,"<sos> du weit , dass ich gehen muss .","du weit , dass ich gehen muss . <eos>",8,9
a lot of companies have pared their staff down to a minimum.,viele firmen haben ihre belegschaft auf ein minimum reduziert.,a lot of companies have pared their staff down to a minimum .,<sos> viele firmen haben ihre belegschaft auf ein minimum reduziert .,viele firmen haben ihre belegschaft auf ein minimum reduziert . <eos>,13,11
keep an eye on the kids.,behalte die kinder im auge!,keep an eye on the kids .,<sos> behalte die kinder im auge !,behalte die kinder im auge ! <eos>,7,7
hold fire.,nicht schießen!,hold fire .,<sos> nicht schieen !,nicht schieen ! <eos>,3,4
i can't believe i finally found tom.,"ich kann es gar nicht fassen, dass ich tom endlich gefunden habe.",i can not believe i finally found tom .,"<sos> ich kann es gar nicht fassen , dass ich tom endlich gefunden habe .","ich kann es gar nicht fassen , dass ich tom endlich gefunden habe . <eos>",9,15
tom screamed something in french.,tom schrie etwas auf französisch.,tom screamed something in french .,<sos> tom schrie etwas auf franzosisch .,tom schrie etwas auf franzosisch . <eos>,6,7
mary believes that latin is not a dead language.,"maria ist der auffassung, dass das latein keineswegs eine tote sprache ist.",mary believes that latin is not a dead language .,"<sos> maria ist der auffassung , dass das latein keineswegs eine tote sprache ist .","maria ist der auffassung , dass das latein keineswegs eine tote sprache ist . <eos>",10,15
